# Derived P2/P3 corpus from Unicode 17.0.0 BidiCharacterTest.txt.
# Source git blob: 646148d7d402e2eb96169d860d7a79f846d67bd0
# Format: codepoints ; expected paragraph embedding level
# Cases: 28
202E 0061 202A 0062 202C 2066 0063 2069 202A 0064 202C 0065 202C;0
202D 05D0 202B 05D1 202C 2068 05D2 2069 202B 05D3 202C 05D4 202C;1
202A 05D0 0028 05D1 202C 202D 0029;1
202A 05D0 0028 05D1 202C 202D 0029 202C;1
202B 0061 0028 0062 202C 202E 0029;0
202B 0061 0028 0062 202C 202E 0029 202C;0
202A 202E 0061 202C 0028 05D0 202C 202D 0029 202C;0
202B 202D 05D0 202C 0028 0061 202C 202E 0029 202C;1
202A 202E 0061 202C 0028 005B 05D0 202C 202D 005D 0029 202C;0
202B 202D 05D0 202C 0028 005B 0061 202C 202E 005D 0029 202C;1
202D 0028 202C 202A 05D0 0029 05D1;1
202D 0028 202C 202A 05D0 0029 05D1 202C;1
202E 0028 202C 202B 0061 0029 0062;0
202E 0028 202C 202B 0061 0029 0062 202C;0
202D 202E 0061 202C 0028 202C 202A 05D0 0029 05D1;0
202E 202D 05D0 202C 0028 202C 202B 0061 0029 0062;1
202D 202E 0061 202C 0028 005B 202C 202A 05D0 005D 0029 05D1;0
202E 202D 05D0 202C 0028 005B 202C 202B 0061 005D 0029 0062;1
062A 0031 002F 0032;1
002B 0661 0028 0662 0029;0
0025 0661 0028 0662 0029;0
0661 0009 0028 0662 0029;0
0661 0020 0028 0662 0029;0
202A 0661 0028 05D0 0029;1
202A 0661 0028 0662 0029;0
202C 0661 0028 0662 0029;0
0661 2069 0028 0662 0029;0
00AD 0028 2069 0661 0025 0029 0662;0
